DATE,precip,temp_max,temp_min
2015-04-28,0.0,80.0,42.0
2020-01-16,0.0,-17.0,-22.0
2019-03-12,0.05,40.0,28.0
2021-02-23,0.03,35.0,20.0
2020-01-25,0.0,47.0,28.0
2008-12-31,0.0,17.0,2.0
2009-05-30,0.0,77.0,49.0
2009-01-15,0.0,43.0,18.0
2014-11-20,0.0,47.0,15.0
2020-05-21,1.27,46.0,36.0
2009-08-08,0.0,73.0,45.0
2016-10-15,0.0,42.0,27.0
2009-03-12,0.0,42.0,4.0
2011-09-20,0.0,64.0,35.0
2010-06-09,0.63,50.0,44.0
2020-04-18,0.02,41.0,31.0
2010-05-15,0.0,70.0,44.0
2013-04-01,0.0,51.0,24.0
2011-03-15,0.0,49.0,29.0
2021-12-29,0.0,-6.0,-20.0
2021-11-11,0.0,40.0,20.0
2010-05-01,0.0,55.0,30.0
2012-04-11,0.0,60.0,33.0
2021-11-29,0.0,50.0,30.0
2020-06-29,0.0,62.0,50.0
2021-11-24,0.0,37.0,13.0
2016-05-19,0.28,57.0,40.0
2010-04-08,0.0,60.0,27.0
2020-06-08,0.1,62.0,38.0
2013-04-05,0.0,41.0,26.0
2012-06-09,0.07,59.0,43.0
2011-11-22,0.0,50.0,21.0
2009-03-13,0.0,51.0,34.0
2020-11-30,0.0,47.0,25.0
2015-03-14,0.0,61.0,44.0
2017-05-15,0.01,59.0,32.0
2011-07-12,0.1,69.0,55.0
2015-08-18,0.04,66.0,49.0
2012-06-26,0.21,58.0,45.0
2021-05-01,0.0,55.0,34.0
2020-05-30,0.0,79.0,48.0
2022-11-03,0.0,31.0,2.0
2013-01-12,0.0,20.0,-2.0
2014-05-13,0.0,64.0,36.0
2010-04-11,0.0,40.0,13.0
2019-12-15,0.0,28.0,3.0
2013-02-24,0.0,46.0,19.0
2015-04-05,0.06,32.0,23.0
2009-08-21,0.0,88.0,52.0
2023-04-06,0.0,46.0,20.0
2012-10-03,0.02,40.0,31.0
2017-01-28,0.0,50.0,41.0
2014-01-20,0.0,40.0,19.0
2017-08-17,0.0,77.0,49.0
2011-11-03,0.0,50.0,25.0
2021-06-16,0.0,70.0,50.0
2016-05-24,0.0,61.0,39.0
2016-02-05,0.0,49.0,32.0
2014-12-04,0.0,33.0,11.0
2015-03-15,0.06,49.0,27.0
2023-02-22,0.02,-5.0,-16.0
2022-08-05,0.0,65.0,46.0
