"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-01","0.00","0.0","1.2","31","37","26",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-02","0.07","0.8","1.2","27","39","15","   34","107.4"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-03",,,"1.2",,,,,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-04","0.02","0.4","0.8","37","48","26","   35","149.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-05","0.00","0.0","1.2","25","39","11","   25","116.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-06","0.00","0.0","1.2","24","33","16","   35","165.5"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-07","0.00","0.0","1.2","15","20","10","   12","71.6"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-08","0.00","0.0","1.6","13","19","6","   35","116.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-09","0.01","0.1","2.8","4","8","0","   35","78.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-10","0.00","0.0","2.8","8","20","-5",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-11","0.00","0.0","2.8","4","13","-4","    1","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-12","0.01","0.1","2.8","-9","-4","-13","   36","94.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-13","0.00","0.0","2.4","-18","-13","-22",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-14","0.00","0.0","2.4","-22","-19","-24",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-15","0.00","0.0","2.4","-21","-17","-26",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-16","0.01","0.2","2.4","-19","-17","-21","   16","71.6"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-17","0.00","0.0","2.8","-13","-9","-17","   35","78.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-18","0.00","0.0","2.8","-11","-2","-19",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-19","0.00","0.0","2.0","17","41","-7",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-20","0.00","0.0","2.0","35","46","25","   24","91.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-21","0.00","0.0","2.0","31","44","18","   26","78.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-22","0.00","0.0","2.0","34","43","24","   27","102.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-23","0.00","0.0",,"33","49","16","   28","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-24","0.00","0.0","1.6","42","51","33","   28","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-25","0.00","0.0","1.6","37","46","27","   29","82.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-26","0.00","0.0","1.2","28","36","19",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-27","0.00","0.0","1.2","34","45","23","   27","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-28","0.00","0.0","0.8","30","41","20","   27","71.6"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-29","0.00","0.0","0.8","30","45","15","   27","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-30","0.00","0.0","0.8","35","43","27","   34","120.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-01-31","0.00","0.0","0.4","36","47","25","   28","149.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-02-01","0.20","2.0","0.0","37","52","23","   33","161.1"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-02-02","0.11","1.1","2.4","20","30","10","    2","100.7"
