precip,temp_max,temp_min
0.0,80.0,42.0
0.0,-17.0,-22.0
0.05,40.0,28.0
0.03,35.0,20.0
0.0,47.0,28.0
0.0,17.0,2.0
0.0,77.0,49.0
0.0,43.0,18.0
0.0,47.0,15.0
1.27,46.0,36.0
0.0,73.0,45.0
0.0,42.0,27.0
0.0,42.0,4.0
0.0,64.0,35.0
0.63,50.0,44.0
0.02,41.0,31.0
0.0,70.0,44.0
0.0,51.0,24.0
0.0,49.0,29.0
0.0,-6.0,-20.0
0.0,40.0,20.0
0.0,55.0,30.0
0.0,60.0,33.0
0.0,50.0,30.0
0.0,62.0,50.0
0.0,37.0,13.0
0.28,57.0,40.0
0.0,60.0,27.0
0.1,62.0,38.0
0.0,41.0,26.0
0.07,59.0,43.0
0.0,50.0,21.0
0.0,51.0,34.0
0.0,47.0,25.0
0.0,61.0,44.0
0.01,59.0,32.0
0.1,69.0,55.0
0.04,66.0,49.0
0.21,58.0,45.0
0.0,55.0,34.0
0.0,79.0,48.0
0.0,31.0,2.0
0.0,20.0,-2.0
0.0,64.0,36.0
0.0,40.0,13.0
0.0,28.0,3.0
0.0,46.0,19.0
0.06,32.0,23.0
0.0,88.0,52.0
0.0,46.0,20.0
0.02,40.0,31.0
0.0,50.0,41.0
0.0,40.0,19.0
0.0,77.0,49.0
0.0,50.0,25.0
0.0,70.0,50.0
0.0,61.0,39.0
0.0,49.0,32.0
0.0,33.0,11.0
0.06,49.0,27.0
0.02,-5.0,-16.0
0.0,65.0,46.0
0.0,26.0,0.0
0.0,55.0,29.0
0.0,71.0,47.0
0.0,69.0,48.0
0.0,11.0,7.0
0.0,20.0,0.0
0.0,49.0,16.0
0.0,31.0,17.0
0.0,72.0,42.0
0.0,76.0,54.0
0.0,12.0,-15.0
0.0,76.0,44.0
0.0,18.0,8.0
0.0,48.0,28.0
0.0,58.0,31.0
0.18,46.0,38.0
0.13,56.0,43.0
0.0,67.0,44.0
0.0,7.0,-8.0
0.04,61.0,41.0
0.0,30.0,23.0
0.0,48.0,28.0
0.0,75.0,45.0
0.0,70.0,43.0
0.0,97.0,58.0
0.0,72.0,48.0
0.0,67.0,44.0
0.0,56.0,33.0
0.0,33.0,19.0
0.0,23.0,5.0
0.0,42.0,18.0
0.01,1.0,-21.0
0.0,49.0,25.0
0.14,76.0,50.0
0.0,56.0,33.0
0.03,90.0,49.0
0.0,32.0,-8.0
0.06,19.0,12.0
0.0,80.0,53.0
0.0,47.0,32.0
0.0,55.0,27.0
0.0,39.0,19.0
0.0,72.0,42.0
0.0,79.0,34.0
0.0,60.0,24.0
0.07,43.0,35.0
0.0,59.0,39.0
0.0,58.0,29.0
0.01,62.0,34.0
0.0,58.0,30.0
0.13,61.0,43.0
0.0,40.0,7.0
0.09,72.0,46.0
0.01,5.0,-5.0
0.01,13.0,5.0
0.07,49.0,32.0
0.0,82.0,56.0
0.0,34.0,7.0
0.0,74.0,53.0
0.0,74.0,32.0
0.0,50.0,23.0
0.0,28.0,2.0
0.59,56.0,46.0
0.0,17.0,5.0
0.0,59.0,35.0
0.0,45.0,28.0
0.0,81.0,46.0
0.0,62.0,29.0
0.0,85.0,39.0
1.16,54.0,45.0
0.0,44.0,29.0
0.1,81.0,56.0
0.0,62.0,41.0
0.0,38.0,29.0
0.03,66.0,43.0
0.0,20.0,-10.0
0.01,41.0,26.0
0.0,67.0,40.0
0.0,42.0,21.0
0.0,44.0,19.0
0.0,8.0,1.0
0.0,48.0,42.0
0.0,76.0,47.0
0.02,36.0,23.0
0.0,64.0,41.0
0.0,-3.0,-11.0
0.0,83.0,49.0
0.0,44.0,14.0
0.01,65.0,45.0
0.0,48.0,16.0
0.0,46.0,20.0
0.0,45.0,28.0
0.0,34.0,20.0
0.01,76.0,54.0
0.0,66.0,34.0
0.0,31.0,15.0
0.0,46.0,26.0
0.07,44.0,14.0
0.01,75.0,55.0
0.0,59.0,37.0
0.0,-2.0,-17.0
0.0,69.0,42.0
0.0,69.0,49.0
0.0,68.0,36.0
0.0,76.0,53.0
0.0,74.0,53.0
0.0,71.0,44.0
0.0,76.0,52.0
0.0,30.0,2.0
0.0,70.0,35.0
0.17,26.0,8.0
0.0,15.0,-15.0
0.0,45.0,24.0
0.0,18.0,-3.0
0.0,56.0,27.0
0.02,70.0,44.0
0.0,48.0,21.0
0.2,55.0,44.0
0.0,47.0,17.0
0.0,47.0,7.0
0.04,34.0,9.0
0.0,58.0,39.0
0.0,80.0,51.0
0.44,36.0,29.0
0.0,72.0,45.0
0.0,71.0,43.0
0.02,5.0,-11.0
0.0,74.0,49.0
0.0,31.0,9.0
0.09,65.0,44.0
0.0,46.0,26.0
0.0,34.0,18.0
0.0,43.0,17.0
0.0,41.0,35.0
0.0,4.0,-16.0
0.0,38.0,16.0
0.0,2.0,-14.0
0.0,24.0,5.0
0.01,91.0,54.0
0.1,65.0,47.0
0.08,72.0,47.0
0.02,22.0,18.0
0.02,27.0,13.0
0.02,78.0,47.0
0.0,52.0,30.0
