"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-01","0.00","5.9",,"2","-15",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-02","0.02","5.5",,"12","-15",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-03","0.00","8.3",,"28","10",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-04","0.00","9.1",,"25","10",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-05","0.00","9.1",,"30","13",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-06","0.02","9.1",,"37","27",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-07","0.00","9.1",,"29","9",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-08","0.01","9.1",,"16","3",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-09","0.00","9.1",,"18","-1",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-10","0.00","9.1",,"18","8",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-11","0.01","9.1",,"17","11",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-12","0.02","9.1",,"16","0",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-13","0.01","9.4",,"16","-23",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-14","0.01","9.1",,"-4","-27",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-15","0.01","10.6",,"17","-4",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-16","0.01","9.1",,"15","-14",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-17","0.00","8.7",,"7","-14",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-18","0.00","8.7",,"-10","-22",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-19","0.00","8.7",,"-7","-25",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-20","0.00","8.7",,"-5","-25",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-21","0.00","8.7",,"6","-21",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-22","0.01","8.7",,"5","-23",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-23","0.00","8.7",,"-5","-27",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-24","0.00","8.7",,"11","-14",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-25","0.00","8.7",,"6","-12",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-26","0.00","8.7",,"9","-4",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-27","0.00","8.7",,"25","0",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-28","0.01","9.1",,"24","-4",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-29","0.02","8.7",,"-4","-22",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-30","0.00","8.7",,"-13","-27",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-01-31","0.00","8.7",,"9","-23",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-02-01","0.00","8.7",,"17","-11",,
"CA00502S001","WINNIPEG A CS, MB CA","2008-02-02","0.00","8.7",,"-3","-19",,
