"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-23","0.00","3.5",,"9","-5",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-24","0.00","3.5",,"24",,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-25","0.00","3.5",,"16","2",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-26","0.00","3.5",,"27",,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-27","0.00",,,"37",,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-28","0.06","3.9",,"20",,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-29","0.01","4.3",,"17",,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-30","0.03","6.7",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2008-12-31","0.00","2.8",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-01","0.05",,,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-02","0.00","3.5",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-03","0.00","3.1",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-04","0.00","3.1",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-05","0.00","3.1",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-06","0.00","2.8",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-07","0.00","2.8",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-08","0.02","2.8",,,,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-09",,"2.8",,"36",,,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-10","0.00","2.8",,"39","23",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-11","0.00","2.8",,"41","18",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-12","0.00","2.4",,"45","14",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-13","0.00","2.0",,"44","14",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-14","0.04","0.8",,"31","10",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-15","0.00","2.4",,"43","18",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-16","0.00","2.0",,"48","25",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-17","0.00","1.2",,"49","18",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-18","0.00","0.8",,"56","27",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-19","0.00","0.8",,"52","21",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-20","0.00","0.8",,"42","15",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-21","0.00","0.8",,"42","18",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-22","0.00","0.8",,"29","-6",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-23","0.00","1.6",,"-6","-11",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-24","0.00","1.6",,"-5","-15",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-25","0.00","1.2",,"15","-15",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-26","0.00","1.2",,"17","-11",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-27","0.00","1.2",,"36","10",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-28","0.00","0.8",,"35","21",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-01-29","0.00","0.8",,"45","19",,
